device_identifier,data_point_name,data_point_identifier,device_name
RC04N0047,cmd his writeble label kind fan point keepalive,TUC.245.76.R189,thermostat
RC04N0047,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R180,thermostat
RC04N0047,kind point cmd writeble send label,TUC.245.76.R198,thermostat
RC04N0047,cmd lockout,TUC.245.76.R199,thermostat
RC04N0047,point label kind his sensor occ keepalive,TUC.245.76.R184,thermostat
RC04N0047,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R194,thermostat
RC04N0047,his kind keepalive writeble cmd label point onoff,TUC.245.76.R186,thermostat
RC04N0048,cmd lockout,TUC.245.76.R299,thermostat
RC04N0048,kind point cmd writeble send label,TUC.245.76.R298,thermostat
RC04N0048,cmd his writeble label kind fan point keepalive,TUC.245.76.R289,thermostat
RC04N0048,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R294,thermostat
RC04N0048,his kind keepalive writeble cmd label point onoff,TUC.245.76.R286,thermostat
RC04N0048,kind label cmd point mode writeble,TUC.245.76.R287,thermostat
RC04N0048,param delay,TUC.245.76.R297,thermostat
RC04N0048,unit-symbol writeble sp unit point max kind label,TUC.245.76.R295,thermostat
RC04N0048,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R280,thermostat
RC04N0048,point label kind his sensor occ keepalive,TUC.245.76.R284,thermostat
RC04N0048,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R288,thermostat
RC04N0049,param delay,TUC.245.76.R277,thermostat
RC04N0049,kind label cmd point mode writeble,TUC.245.76.R267,thermostat
RC04N0049,kind point cmd writeble send label,TUC.245.76.R278,thermostat
RC04N0049,point label kind his sensor occ keepalive,TUC.245.76.R264,thermostat
RC04N0049,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R268,thermostat
RC04N0049,cmd lockout,TUC.245.76.R279,thermostat
RC04N0049,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R274,thermostat
RC04N0049,his kind keepalive writeble cmd label point onoff,TUC.245.76.R266,thermostat
RC04N0049,unit-symbol writeble sp unit point max kind label,TUC.245.76.R275,thermostat
RC04N0049,cmd his writeble label kind fan point keepalive,TUC.245.76.R269,thermostat
RC04N0049,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R260,thermostat
RC04N0050,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R248,thermostat
RC04N0050,his kind keepalive writeble cmd label point onoff,TUC.245.76.R246,thermostat
RC04N0050,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R240,thermostat
RC04N0050,cmd his writeble label kind fan point keepalive,TUC.245.76.R249,thermostat
RC04N0050,point label kind his sensor occ keepalive,TUC.245.76.R244,thermostat
RC04N0050,kind label cmd point mode writeble,TUC.245.76.R247,thermostat
RC04N0050,unit-symbol writeble sp unit point max kind label,TUC.245.76.R255,thermostat
RC04N0050,param delay,TUC.245.76.R257,thermostat
RC04N0050,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R254,thermostat
RC04N0050,cmd lockout,TUC.245.76.R259,thermostat
RC04N0050,kind point cmd writeble send label,TUC.245.76.R258,thermostat
RC04N0051,param delay,TUC.245.76.R237,thermostat
RC04N0051,his kind keepalive writeble cmd label point onoff,TUC.245.76.R226,thermostat
RC04N0051,cmd lockout,TUC.245.76.R239,thermostat
RC04N0051,kind label cmd point mode writeble,TUC.245.76.R227,thermostat
RC04N0051,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R220,thermostat
RC04N0051,unit-symbol writeble sp unit point max kind label,TUC.245.76.R235,thermostat
RC04N0051,keepalive label kind writeble unit-symbol unit sp point his,TUC.245.76.R228,thermostat
RC04N0051,cmd his writeble label kind fan point keepalive,TUC.245.76.R229,thermostat
RC04N0051,point label kind his sensor occ keepalive,TUC.245.76.R224,thermostat
RC04N0051,min point kind unit label writeble sp unit-sympbol,TUC.245.76.R234,thermostat
RC04N0051,kind point cmd writeble send label,TUC.245.76.R238,thermostat
RC04N0052,kind label cmd point mode writeble,TUC.245.76.R207,thermostat
RC04N0052,his kind keepalive writeble cmd label point onoff,TUC.245.76.R206,thermostat
RC04N0052,point label kind his sensor occ keepalive,TUC.245.76.R204,thermostat
RC04N0052,cmd his writeble label kind fan point keepalive,TUC.245.76.R209,thermostat
RC04N0052,his keepalive min label sensor kind point unit threshold factor temp unit-symbol max,TUC.245.76.R200,thermostat
